,start_station_name,num_of_trips
1482,10101 S Stony Island Ave,1
1153,111th St - Morgan Park Metra,7
496,2112 W Peterson Ave,2472
1452,351,1
1035,532 E 43rd St,17
1186,63rd & Western Ave - north corner,5
1130,63rd & Western Ave - south corner,8
423,63rd St Beach,5223
1547,83rd St (Avalon Park) Metra,1
201,900 W Harrison St,24052
1069,Abbott Park,12
146,Aberdeen St & Jackson Blvd,31708
179,Aberdeen St & Monroe St,26950
185,Aberdeen St & Randolph St,25671
828,Ada St & 113th St,116
1525,Ada St & 117th St,1
1474,Ada St & 79th St,1
1575,Ada St & 95th St,1
211,Ada St & Washington Blvd,22831
88,Adler Planetarium,43203
1560,Al Raby School,1
1587,Albany Ave & 103rd St,1
1195,Albany Ave & 111th St - NW,5
800,Albany Ave & 16th St,146
577,Albany Ave & 26th St,850
1058,Albany Ave & 63rd St,13
647,Albany Ave & Belmont Ave,430
314,Albany Ave & Bloomingdale Ave,11939
928,Albany Ave & Douglas Blvd,45
420,Albany Ave & Montrose Ave,5342
835,Altgeld Gardens,113
531,Archer (Damen) Ave & 37th St,1610
794,Archer Ave & 43rd St,152
1260,Archer Park,4
825,Artesian Ave & 55th St,122
361,Artesian Ave & Hubbard St,8374
364,Ashland Ave & 13th St,8225
1306,Ashland Ave & 45th St,3
1285,Ashland Ave & 45th St - midblock south,3
1321,Ashland Ave & 46th St,3
670,Ashland Ave & 50th St,371
668,Ashland Ave & 63rd St,375
778,Ashland Ave & 66th St,173
904,Ashland Ave & 69th St,59
1239,Ashland Ave & 71st St,4
1096,Ashland Ave & 73rd St,10
755,Ashland Ave & 74th St,202
1411,Ashland Ave & 76th St,2
727,Ashland Ave & 78th St,256
477,Ashland Ave & Archer Ave,2868
232,Ashland Ave & Augusta Blvd,19755
356,Ashland Ave & Belle Plaine Ave,8697
175,Ashland Ave & Blackhawk St,27741
222,Ashland Ave & Chicago Ave,21227
31,Ashland Ave & Division St,61610
664,Ashland Ave & Garfield Blvd,386
246,Ashland Ave & Grace St,18074
266,Ashland Ave & Grand Ave,15919
302,Ashland Ave & Lake St,13058
565,Ashland Ave & McDowell Ave,952
575,Ashland Ave & Pershing Rd,871
256,Ashland Ave & Wellington Ave,17067
250,Ashland Ave & Wrightwood Ave,17730
945,Augusta Blvd & Laramie Ave,40
1246,Austin Ave & Roscoe St,4
1432,Austin Ave & Wellington Ave - midblock,2
1197,Austin Ave & Wrightwood Ave,5
585,Austin Blvd & Chicago Ave,785
544,Austin Blvd & Lake St,1313
564,Austin Blvd & Madison St,959
1408,Austin Blvd & North Ave,2
1484,Austin Branch Chicago Public Library,1
1417,Avenue J & 106th St,2
1336,Avenue J & 112th St,3
939,Avenue L & 114th St,41
1364,Avenue M & 132nd St,2
745,Avenue O & 118th St,220
751,Avenue O & 134th St,205
1029,Avers Ave & Archer Ave,18
429,Avers Ave & Belmont Ave,4987
1109,Avers Ave & Irving Park Rd,9
1448,Avers Ave & Ogden Ave,1
1251,Avondale Ave & Addison St,4
442,Avondale Ave & Irving Park Rd,3937
1391,Back of the Yards Park,2
1501,Baltimore Ave & 133rd St,1
663,Baltimore Ave & 87th St,392
566,Base - 2132 W Hubbard,922
631,Base - 2132 W Hubbard Warehouse,471
1076,Bell Ave & 95th St,11
728,Bennett Ave & 79th St,256
1508,Bennett Ave & 96th St,1
1470,Bensley Ave & 103rd St,1
287,Benson Ave & Church St,14286
459,Bernard St & Elston Ave,3350
605,Big Marsh Park,611
1182,Bishop St & 46th St,6
96,Bissell St & Armitage Ave,40592
1028,Bissell St & Armitage Ave - Charging,18
321,Bissell St & Armitage Ave*,11330
298,Blackstone Ave & Hyde Park Blvd,13361
870,Bloomingdale Ave & Harlem Ave,79
